Type,Model,Input Shape
Obj Classification,alexnet,"(1, 224, 224, 3)"
Obj Classification,cifar_resnet110_v1,"(1, 48, 48, 3)"
Obj Classification,cifar_resnet110_v2,"(1, 48, 48, 3)"
Obj Classification,cifar_resnet20_v1,"(1, 48, 48, 3)"
Obj Classification,cifar_resnet20_v2,"(1, 48, 48, 3)"
Obj Classification,cifar_resnet56_v1,"(1, 48, 48, 3)"
Obj Classification,cifar_resnet56_v2,"(1, 48, 48, 3)"
Obj Classification,cifar_resnext29_16x64d,"(1, 48, 48, 3)"
Obj Classification,cifar_wideresnet16_10,"(1, 48, 48, 3)"
Obj Classification,cifar_wideresnet28_10,"(1, 48, 48, 3)"
Obj Classification,cifar_wideresnet40_8,"(1, 48, 48, 3)"
Obj Classification,darknet53,"(1, 224, 224, 3)"
Obj Classification,densenet121,"(1, 224, 224, 3)"
Obj Classification,densenet161,"(1, 224, 224, 3)"
Obj Classification,densenet169,"(1, 224, 224, 3)"
Obj Classification,densenet201,"(1, 224, 224, 3)"
Obj Classification,googlenet,"(1, 224, 224, 3)"
Obj Classification,mobilenet1.0,"(1, 224, 224, 3)"
Obj Classification,mobilenet0.75,"(1, 224, 224, 3)"
Obj Classification,mobilenet0.5,"(1, 224, 224, 3)"
Obj Classification,mobilenet0.25,"(1, 224, 224, 3)"
Obj Classification,mobilenetv2_1.0,"(1, 224, 224, 3)"
Obj Classification,mobilenetv2_0.75,"(1, 224, 224, 3)"
Obj Classification,mobilenetv2_0.5,"(1, 224, 224, 3)"
Obj Classification,mobilenetv2_0.25,"(1, 224, 224, 3)"
Obj Classification,mobilenetv3_large,"(1, 224, 224, 3)"
Obj Classification,mobilenetv3_small,"(1, 224, 224, 3)"
Obj Classification,resnest14,"(1, 224, 224, 3)"
Obj Classification,resnest26,"(1, 224, 224, 3)"
Obj Classification,resnest50,"(1, 224, 224, 3)"
Obj Classification,resnest101,"(1, 256, 256, 3)"
Obj Classification,resnest200,"(1, 320, 320, 3)"
Obj Classification,resnest269,"(1, 416, 416, 3)"
Obj Classification,resnet18_v1,"(1, 224, 224, 3)"
Obj Classification,resnet18_v1b_0.89,"(1, 224, 224, 3)"
Obj Classification,resnet18_v2,"(1, 224, 224, 3)"
Obj Classification,resnet34_v1,"(1, 224, 224, 3)"
Obj Classification,resnet34_v2,"(1, 224, 224, 3)"
Obj Classification,resnet50_v1,"(1, 224, 224, 3)"
Obj Classification,resnet50_v1d_0.86,"(1, 224, 224, 3)"
Obj Classification,resnet50_v1d_0.48,"(1, 224, 224, 3)"
Obj Classification,resnet50_v1d_0.37,"(1, 224, 224, 3)"
Obj Classification,resnet50_v1d_0.11,"(1, 224, 224, 3)"
Obj Classification,resnet50_v2,"(1, 224, 224, 3)"
Obj Classification,resnet101_v1,"(1, 224, 224, 3)"
Obj Classification,resnet101_v1d_0.76,"(1, 224, 224, 3)"
Obj Classification,resnet101_v1d_0.73,"(1, 224, 224, 3)"
Obj Classification,resnet101_v2,"(1, 224, 224, 3)"
Obj Classification,resnet152_v1,"(1, 224, 224, 3)"
Obj Classification,resnet152_v2,"(1, 224, 224, 3)"
Obj Classification,resnext50_32x4d,"(1, 224, 224, 3)"
Obj Classification,resnext101_32x4d,"(1, 224, 224, 3)"
Obj Classification,resnext101_64x4d,"(1, 224, 224, 3)"
Obj Classification,senet_154,"(1, 224, 224, 3)"
Obj Classification,se_resnext101_32x4d,"(1, 224, 224, 3)"
Obj Classification,se_resnext101_64x4d,"(1, 224, 224, 3)"
Obj Classification,se_resnext50_32x4d,"(1, 224, 224, 3)"
Obj Classification,squeezenet1.0,"(1, 224, 224, 3)"
Obj Classification,squeezenet1.1,"(1, 224, 224, 3)"
Obj Classification,vgg11,"(1, 224, 224, 3)"
Obj Classification,vgg11_bn,"(1, 224, 224, 3)"
Obj Classification,vgg13,"(1, 224, 224, 3)"
Obj Classification,vgg13_bn,"(1, 224, 224, 3)"
Obj Classification,vgg16,"(1, 224, 224, 3)"
Obj Classification,vgg16_bn,"(1, 224, 224, 3)"
Obj Classification,vgg19,"(1, 224, 224, 3)"
Obj Classification,vgg19_bn,"(1, 224, 224, 3)"
Obj Classification,xception,"(1, 224, 224, 3)"
Obj Classification,inceptionv3,"(1, 512, 512, 3)"
Obj Detection,ssd_300_vgg16_atrous_voc,"(1, 512, 512, 3)"
Obj Detection,ssd_512_vgg16_atrous_voc,"(1, 512, 512, 3)"
Obj Detection,ssd_512_resnet50_v1_voc,"(1, 512, 512, 3)"
Obj Detection,ssd_512_mobilenet1.0_voc,"(1, 512, 512, 3)"
Obj Detection,faster_rcnn_resnet50_v1b_voc,"(1, 512, 512, 3)"
Obj Detection,yolo3_darknet53_voc,"(1, 512, 512, 3)"
Obj Detection,yolo3_mobilenet1.0_voc,"(1, 512, 512, 3)"
Obj Detection,center_net_resnet18_v1b_voc,"(1, 512, 512, 3)"
Obj Detection,center_net_resnet50_v1b_voc,"(1, 512, 512, 3)"
Obj Detection,center_net_resnet101_v1b_voc,"(1, 512, 512, 3)"
Obj Detection,ssd_300_vgg16_atrous_coco,"(1, 512, 512, 3)"
Obj Detection,ssd_512_vgg16_atrous_coco,"(1, 512, 512, 3)"
Obj Detection,ssd_300_resnet34_v1b_coco,"(1, 512, 512, 3)"
Obj Detection,ssd_512_resnet50_v1_coco,"(1, 512, 512, 3)"
Obj Detection,ssd_512_mobilenet1.0_coco,"(1, 512, 512, 3)"
Obj Detection,faster_rcnn_resnet50_v1b_coco,"(1, 512, 512, 3)"
Obj Detection,faster_rcnn_resnet101_v1d_coco,"(1, 512, 512, 3)"
Obj Detection,yolo3_darknet53_coco,"(1, 512, 512, 3)"
Obj Detection,yolo3_mobilenet1.0_coco,"(1, 512, 512, 3)"
Obj Detection,center_net_resnet18_v1b_coco,"(1, 512, 512, 3)"
Obj Detection,center_net_resnet50_v1b_coco,"(1, 512, 512, 3)"
Obj Detection,center_net_resnet101_v1b_coco,"(1, 512, 512, 3)"
Img Segmentation,fcn_resnet50_ade,"(1, 480, 480, 3)"
Img Segmentation,fcn_resnet101_ade,"(1, 480, 480, 3)"
Img Segmentation,deeplab_resnet50_ade,"(1, 480, 480, 3)"
Img Segmentation,deeplab_resnet101_ade,"(1, 480, 480, 3)"
Img Segmentation,deeplab_resnest50_ade,"(1, 480, 480, 3)"
Img Segmentation,deeplab_resnest101_ade,"(1, 480, 480, 3)"
Img Segmentation,deeplab_resnest200_ade,"(1, 480, 480, 3)"
Img Segmentation,deeplab_resnest269_ade,"(1, 480, 480, 3)"
Img Segmentation,fcn_resnet101_coco,"(1, 480, 480, 3)"
Img Segmentation,deeplab_resnet101_coco,"(1, 480, 480, 3)"
Img Segmentation,fcn_resnet101_voc,"(1, 480, 480, 3)"
Img Segmentation,deeplab_resnet101_voc,"(1, 480, 480, 3)"
Img Segmentation,deeplab_resnet152_voc,"(1, 480, 480, 3)"
Img Segmentation,deeplab_resnet50_citys,"(1, 480, 480, 3)"
Img Segmentation,deeplab_resnet101_citys,"(1, 480, 480, 3)"
Img Segmentation,danet_resnet50_citys,"(1, 480, 480, 3)"
Img Segmentation,danet_resnet101_citys,"(1, 480, 480, 3)"
